SiteID,lon,lat,Gtable,Gtable_std,Gtable_closure,Gtable_closure_std,Gtable_CV,years_1,years_2,years_3,years_4,years_5,years_6,years_7,years_8,years_9,years_10,years_11,years_12,years_13,years_14,years_15,years_16,years_17,years_18,years_19,years_20,years_21,years_22,years_23,years_24,years_25,years_26,Gseas_amp
CA-Gro,-82.1555,48.2173,0.409425751318831,0.102211517887619,-9.53632698757081,2.05817082648888,0.249646040969279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301380674507672,0.534142981553292,0.352241374339756,0.343297676481907,0.428517303305113,0.239115711938898,0.546464653130904,0.389931105536712,0.499329734685975,0.459836297708083,0,0,6.81486669480478
CA-Obs,-105.11779,53.98717,-0.362948299513853,0,NaN,NaN,-0,0,0,0,0,0,0,0,0,0,-0.362948299513853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78311285809628
CA-Qfo,-74.34204,49.69247,0.204226120497894,0.0609547202025077,-8.23986441580849,4.67475681488419,0.29846681733905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18671047747306,0.272532543359711,0.140167749785733,0.28694221571385,0.180634023923389,0.15836971273162,0,0,0,0,0,0,5.56971642218404
CA-SF1,-105.81735,54.48495,0.878020823461241,0.661220430698632,-14.359103384682,1.23869675639593,0.75308057967468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410467373055149,1.34557427386733,0,0,0,0,0,0,0,0,0,0,6.84763031802098
CA-SF2,-105.8775,54.25392,0.301165803288611,0.386772787585123,-23.9757161519603,0.899281414277355,1.28425200790301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574655464168476,0.0276761424087464,0,0,0,0,0,0,0,0,0,0,0,6.57236338105375
CA-SF3,-106.00526,54.09156,2.61186133918041,0.919279986016845,-26.4355908902334,2.43235198299882,0.35196354884035,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67302206895218,2.10428362379006,2.05827832479898,0,0,0,0,0,0,0,0,0,0,6.68779059778422
CA-TP1,-80.55951944,42.66093611,0.521376714206294,0.959381308817338,-6.66904760440917,8.50999672861547,1.84009236062226,0,0,0,0,0,0,0,0,0,0,0,0,3.32599460968118,0.993721597071021,0.986255157851206,0.98805796386546,1.24166146193356,1.57121409974984,2.02923958922098,0.715267525775405,0.104569524316222,-0.0724969148324343,-0.699409253658901,-0.906567437461233,-0.694992743355602,0,6.56903849091271
CA-TP2,-80.458775,42.77441944,0.6325767288764,0.41149725794048,-13.5999642619405,12.0526219776817,0.650509636469544,0,0,0,0,0,0,0,0,0,0,0,0,1.12879469077079,0.241827874273274,0.0736207410716793,0.854069586186849,0.920811276803665,0.576336204152143,0,0,0,0,0,0,0,0,5.30762796498115
CA-TP3,-80.34831389,42.70681111,-0.12526182312977,0.000614705323968145,-6.63430079401799,1.88924660088278,-0.00490736370115992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839626016031428,0.219741306777849,0.315099342985829,0.147749872031154,0,-0.12482716082676,-0.407253473072152,-0.151931407491098,-0.125696485432779,-0.375678881370247,-0.550603386788968,-0.303412085114188,0,6.116023046355
CA-TPD,-80.557561,42.635312,-0.31748591058138,0.170231542380429,6.13630234094338,1.44387941033612,-0.536186132067095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.355140012026168,-0.465737896558713,-0.131579823159257,0,5.42923579209007
